Label,IH % (Top 100),IH % (Top 500),IH % (Top 1%),IH % (Top 5%),Δ IH % (Top 100),Δ IH % (Top 500),Δ IH % (Top 1%),Δ IH % (Top 5%)
MPPR,24.0,23.8,23.33,13.3,0.0,0.0,0.0,0.0
W+UBV,17.0,13.6,12.86,8.34,-7.0,-10.2,-10.47,-4.96
W+RBV,18.0,11.4,8.32,4.8,-6.0,-12.4,-15.01,-8.5
W+LBV,41.0,43.8,33.08,19.42,17.0,20.0,9.75,6.12
W+DBV,9.0,5.4,4.97,2.31,-15.0,-18.4,-18.36,-10.99
W+MWBV_0.25,37.0,33.8,31.53,16.8,13.0,10.0,8.2,3.5
W+MWBV_0.5,39.0,38.2,32.94,19.07,15.0,14.4,9.61,5.77
W+MWBV_0.75,41.0,42.6,33.15,19.35,17.0,18.8,9.82,6.05
W+TBV,14.0,6.4,7.03,4.56,-10.0,-17.4,-16.3,-8.74
