node_type,is_infohazard_related,pr_mass_share_baseline,count,pr_mass_share_mppr,delta_pr_mass_share,rel_change_mass_%
academic_article,True,0.020767479034719934,1887,0.056736073648790554,0.035969,173.2
book_chapter,False,0.05207343655802063,4810,0.08131670121572422,0.029243,56.16
policy_document,False,0.01836817005668756,1632,0.03837519792291212,0.020007,108.92
news_website,True,0.002466251659564507,223,0.019663625437310615,0.017197,697.31
review,True,0.009867567821187296,909,0.024623178316780698,0.014756,149.54
policy_document,True,0.0021850604066201798,179,0.016637687082281166,0.014453,661.43
blog_post,False,0.014004740514720794,1265,0.027876606474807386,0.013872,99.05
book_chapter,True,0.005247226491495693,476,0.01802547689106949,0.012778,243.52
editorial,False,0.0048817145926659785,445,0.00861988243707537,0.003738,76.57
book,True,0.0001575249512018971,12,0.0026992648309720323,0.002542,1613.55
book,False,0.002660775733328237,238,0.00496117716636642,0.0023,86.46
other,False,0.0059743367882793,556,0.008020884154262527,0.002047,34.26
wikipedia,False,0.0039699812348042655,366,0.005058737787543844,0.001089,27.42
editorial,True,0.0005012108663587613,46,0.001381442540938185,0.00088,175.62
wikipedia,True,0.0003236932875913023,30,0.001097516998083947,0.000774,239.06
patent,False,0.02357479834974213,2177,0.024177774974479236,0.000603,2.56
blog_post,True,0.0006643321147576183,60,0.0012419266423065128,0.000578,86.94
other,True,0.000642543435862414,58,0.0010494214853647898,0.000407,63.32
video,False,0.0005900315942587845,54,0.0009042525178199231,0.000314,53.25
paratext,True,2.2256241187704376e-05,2,0.00026813666618658293,0.000246,1104.77
report,False,0.0005235677962780783,48,0.0007507107382384184,0.000227,43.38
report,True,0.00010614010978449101,9,0.000326007513205436,0.00022,207.15
video,True,4.328443452664707e-05,4,0.0001337942163477235,9.1e-05,209.1
paratext,False,0.0012160290306758184,113,0.0012736446746188736,5.8e-05,4.74
dissertation,True,0.00010842395004540913,10,0.00015987264417048416,5.1e-05,47.45
letter,True,0.0004761008202910258,43,0.000526760223957688,5.1e-05,10.64
letter,False,0.009536935455255705,880,0.009585856248060921,4.9e-05,0.51
core_paper,True,5.2731207899250895e-05,5,6.606423233162079e-05,1.3e-05,25.28
reference-entry,True,1.0598532981326272e-05,1,3.408777901800425e-06,-7e-06,-67.84
patent,True,1.0558139743179113e-05,1,6.332596364256801e-08,-1e-05,-99.4
grant,False,1.128910215317952e-05,1,1.3529187394961261e-06,-1e-05,-88.02
retraction,False,1.0590533855871978e-05,1,2.839882749642608e-07,-1e-05,-97.32
press release,False,1.0547056467266881e-05,1,1.1092363556044454e-07,-1e-05,-98.95
clinical_guidance,True,1.0789109533193746e-05,1,1.2647471255326473e-07,-1.1e-05,-98.83
periodical,False,4.613921080933988e-05,4,3.161670866524172e-05,-1.5e-05,-31.48
erratum,False,0.00024086873521816978,22,0.00020973918432645212,-3.1e-05,-12.92
legal documents,False,3.196469181624797e-05,3,4.960631089032542e-07,-3.1e-05,-98.45
guideline,False,0.00020711545059170385,19,8.982213471537854e-05,-0.000117,-56.63
preprint,True,0.0008349049078270413,78,0.0006662500344163208,-0.000169,-20.2
working_paper,False,0.00034346256809539196,32,0.0001478788923810815,-0.000196,-56.94
reference-entry,False,0.00027781089179820166,26,7.688076274459472e-05,-0.000201,-72.33
clinical_guidance,False,0.001973242575159682,182,0.0015693293130426592,-0.000404,-20.47
dataset,False,0.0008659342553679232,81,0.00011549052212102637,-0.00075,-86.66
peer-review,False,0.002294872668280368,214,0.001047584681680684,-0.001247,-54.35
dissertation,False,0.005937528999265791,554,0.0034760282166272105,-0.002462,-41.46
news_website,False,0.08431652999176936,7885,0.07936802475822756,-0.004949,-5.87
preprint,False,0.06535110521178548,6083,0.05545157517717875,-0.0099,-15.15
review,False,0.14104420594369738,13112,0.10940216612394983,-0.031642,-22.43
academic_article,False,0.5151635968859725,47748,0.39278409533557945,-0.12238,-23.76
