Variant,Spearman,Overlap top_100 (%),Overlap top_500 (%),Overlap top 1pct (%),Overlap top 5pct (%),Top_100 IH_pct (%),Top_500 IH_pct (%),Top 1pct_IH (%),Top 5pct_IH (%),Δ top 100 (%),Average IH percentile rank (AIHPR),Δ AIHPR (%),Mann-Whitney U,Mann-Whitney P,Effect size (\delta)
Baseline,1.0,100.0,100.0,100.0,100.0,20.0,16.0,13.73,9.85,0.0,41.88,0.0,148273201.5,1.3469953080112437e-74,-0.17
MPPR,0.76,20.0,26.8,28.86,45.97,24.0,23.8,23.24,13.31,4.0,44.12,2.24,156647151.0,5.971696115197287e-40,-0.12
W+UBV,0.94,76.0,81.2,82.16,81.83,17.0,13.6,12.86,8.34,-3.0,43.52,1.64,154408729.0,3.907152906288711e-48,-0.14
UNW+MBV,0.76,19.0,26.6,28.65,46.23,25.0,23.6,23.46,13.48,5.0,43.98,2.11,156139880.5,9.782874558231009e-42,-0.13
W+RBV,0.06,33.0,34.6,28.43,17.02,19.0,9.8,9.08,5.36,-1.0,49.6,7.72,177116175.0,0.36842193772482534,-0.01
W+LBV,0.87,29.0,24.8,31.89,35.86,41.0,43.8,33.08,19.42,21.0,35.45,-6.43,124255481.0,4.139740559291805e-235,-0.3
W+DBV,0.06,29.0,25.0,22.49,11.77,9.0,5.4,4.97,2.31,-11.0,64.82,22.95,233980435.5,6.646373897013562e-244,0.31
W+MWBV_0.25,0.19,30.0,32.4,32.86,38.71,37.0,33.8,31.57,16.79,17.0,49.89,8.01,178203122.0,0.8066797665614087,-0.0
W+MWBV_0.5,0.35,31.0,26.2,32.11,34.85,39.0,38.2,32.97,19.08,19.0,46.52,4.64,165608104.0,4.827765601357494e-15,-0.07
W+MWBV_0.75,0.56,29.0,25.0,31.78,35.93,41.0,42.6,33.08,19.36,21.0,42.67,0.79,151220730.0,3.8206663667678436e-61,-0.15
W+TBV,0.64,4.0,3.2,2.81,4.3,14.0,6.4,7.03,4.56,-6.0,45.37,3.49,161318346.5,2.108978719780638e-25,-0.1
Rev+MBV,-0.01,5.0,5.2,8.32,12.14,14.0,22.2,13.3,7.65,-6.0,50.0,8.19,178404120.0,0.7118171221662821,0.0
UUW+UBV,-0.12,0.0,0.4,0.32,11.8,11.0,15.0,15.35,15.66,-9.0,48.36,6.48,172489766.0,0.00022759235771750076,-0.03
